M,N,Instance,Algorithm,Status,ObjF,Time [s],
1000,1000,1,Network,Optimal,1426271,2.2,
1000,1000,2,Network,Optimal,1397103,2.1,
1000,1000,3,Network,Optimal,1477785,2.1,
1000,1000,4,Network,Optimal,1430840,2.1,
1000,1000,5,Network,Optimal,1409360,2.2,
1000,1000,6,Network,Optimal,1400692,2.3,
1000,1000,7,Network,Optimal,1459406,2.3,
1000,1000,8,Network,Optimal,1379366,2.2,
1000,1000,9,Network,Optimal,1404415,2.0,
1000,1000,10,Network,Optimal,1369058,2.1,2.16
2000,2000,1,Network,Optimal,2785696,202.6,
2000,2000,2,Network,Optimal,2735967,193.0,
2000,2000,3,Network,Optimal,2805071,202.3,
2000,2000,4,Network,Optimal,2829092,206.9,
2000,2000,5,Network,Optimal,2808097,207.8,
2000,2000,6,Network,Optimal,2820250,204.6,
2000,2000,7,Network,Optimal,2892359,186.4,
2000,2000,8,Network,Optimal,2830659,197.5,
2000,2000,9,Network,Optimal,2790417,197.8,
2000,2000,10,Network,Optimal,2829839,198.9,199.77
4000,4000,1,Network,Optimal,5508212,53.9,
4000,4000,2,Network,Optimal,5487317,55.0,
4000,4000,3,Network,Optimal,5648408,52.9,
4000,4000,4,Network,Optimal,5681664,53.4,
4000,4000,5,Network,Optimal,5533452,54.0,
4000,4000,6,Network,Optimal,5563801,53.3,
4000,4000,7,Network,Optimal,5536466,53.6,
4000,4000,8,Network,Optimal,5750374,53.1,
4000,4000,9,Network,Optimal,5648021,53.0,
4000,4000,10,Network,Optimal,5769414,53.0,53.53
6000,6000,1,Network,Optimal,8395898,287.5,
6000,6000,2,Network,Optimal,8576815,310.0,
6000,6000,3,Network,Optimal,8361405,281.3,
6000,6000,4,Network,Optimal,8315531,290.9,
6000,6000,5,Network,Optimal,8405247,290.4,
6000,6000,6,Network,Optimal,8356888,298.2,
6000,6000,7,Network,Optimal,8342474,281.4,
6000,6000,8,Network,Optimal,8550712,280.8,
6000,6000,9,Network,Optimal,8459089,284.8,
6000,6000,10,Network,Optimal,8341866,296.8,290.22
